"2018","Los Angeles","100 Corporate Pointe","West","Culver City","CA","90230.0","CBD"
"2018","Los Angeles","11601 Wilshire Blvd","West","Los Angeles","CA","90025.0","CBD"
"2018","Los Angeles","11601 Wilshire Blvd","West","Los Angeles","CA","90025.0","CBD"
"2018","Los Angeles","429 Santa Monica Blvd","West","Santa Monica","CA","90401.0","CBD"
"2018","Los Angeles","1999 Avenue of the Stars","West","Los Angeles","CA","90067.0","CBD"
"2018","Los Angeles","2001 Wilshire Blvd","West","Santa Monica","CA","90403.0","CBD"
"2018","Los Angeles","2001 Wilshire Blvd","West","Santa Monica","CA","90403.0","CBD"
"2018","Los Angeles","200 N Westlake Blvd","West","Westlake Village","CA","91362.0","Suburban"
"2018","Los Angeles","320 Pine Ave","West","Long Beach","CA","90802.0","Suburban"
"2018","Los Angeles","535 N Brand Blvd","West","Glendale","CA","91203.0","Suburban"
"2018","Los Angeles","555 E Ocean Blvd","West","Long Beach","CA","90802.0","Suburban"
"2018","Los Angeles","3008 Wilshire Blvd","West","Los Angeles","CA","90010.0","CBD"
"2018","Los Angeles","6300 Wilshire Blvd","West","Los Angeles","CA","90048.0","CBD"
"2018","Los Angeles","6420 Wilshire Blvd","West","Los Angeles","CA","90048.0","CBD"
"2018","Los Angeles","6420 Wilshire Blvd","West","Los Angeles","CA","90048.0","CBD"
"2018","Los Angeles","777 S Aviation Blvd","West","El Segundo","CA","90245.0","CBD"
"2018","Los Angeles","80 S Lake Ave","West","Pasadena","CA","91101.0","Suburban"
"2018","Los Angeles","888 S Figueroa St","West","Los Angeles","CA","90017.0","CBD"
"2018","Los Angeles","909 N Pacific Coast Hwy","West","El Segundo","CA","90245.0","CBD"
"2018","Los Angeles","9100 Wilshire Blvd","West","Beverly Hills","CA","90212.0","CBD"
"2018","Los Angeles","707 Wilshire Blvd","West","Los Angeles","CA","90017.0","CBD"
"2018","Los Angeles","5901 W Century Blvd","West","Los Angeles","CA","90045.0","CBD"
"2018","Los Angeles","800 Apollo St","West","El Segundo","CA","90245.0","CBD"
"2018","Los Angeles","595 E Colorado Blvd","West","Pasadena","CA","91101.0","Suburban"
"2018","Los Angeles","350 S Beverly Dr","West","Beverly Hills","CA","90212.0","CBD"
"2018","Los Angeles","9777 Wilshire Blvd","West","Beverly Hills","CA","90212.0","CBD"
"2018","Los Angeles","5001 Airport Plaza Dr","West","Long Beach","CA","90815.0","Suburban"
"2018","Los Angeles","5000 E Spring St","West","Long Beach","CA","90815.0","Suburban"
"2018","Los Angeles","425 W Broadway","West","Glendale","CA","91204.0","Suburban"
"2018","Los Angeles","12105 W Bluff Creek Dr","West","Playa Vista","CA","90094.0","Suburban"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","10877 Wilshire Blvd","West","Los Angeles","CA","90024.0","CBD"
"2018","Los Angeles","3500 W Olive Ave","West","Burbank","CA","91505.0","CBD"
"2018","Los Angeles","17785 Center Court Dr","West","Cerritos","CA","90703.0","Suburban"
"2018","Los Angeles","4510 E Pacific Coast Hwy","West","Long Beach","CA","90804.0","Suburban"
"2018","Los Angeles","4510 E Pacific Coast Hwy","West","Long Beach","CA","90804.0","Suburban"
"2018","Los Angeles","22144 Clarendon St","West","Woodland Hills","CA","91367.0","Suburban"
"2018","Los Angeles","315 W 9th St","West","Los Angeles","CA","90015.0","CBD"
"2018","Los Angeles","315 W 9th St","West","Los Angeles","CA","90015.0","CBD"
"2018","Los Angeles","15303 Ventura Blvd","West","Sherman Oaks","CA","91403.0","Suburban"
"2018","Los Angeles","15303 Ventura Blvd","West","Sherman Oaks","CA","91403.0","Suburban"
"2018","Los Angeles","100 E Thousand Oaks Blvd","West","Thousand Oaks","CA","91360.0","Suburban"
"2018","Los Angeles","5716 Corsa Ave","West","Westlake Village","CA","91362.0","Suburban"
